"original_file_path","detected_screen_page","confidence","proposed_new_folder","proposed_new_filename","reason","notes"
"C:\Users\USER\Documents\DukaSafe\User Interface\11993f05-24f4-43b6-a4df-fcb2e8530177.png","Buyer Check a Seller","high","01_desktop_ui/02_buyer/","02_check-seller_search-trust-profile.png","Visible ""Check before you pay"" search UI, TikTok/Instagram/WhatsApp examples, seller verification result, trust score, and recent verified sellers.","Buyer-side verification/search screen, not landing page."
"C:\Users\USER\Documents\DukaSafe\User Interface\1d8b0326-48ff-42a2-9be0-1a0557098738.png","Admin Dashboard - Verification Queue","high","01_desktop_ui/04_admin/","11_admin-verification-queue_document-review.png","Visible ""Seller Verification Queue"", pending applications, document viewer, approve/reject actions, and verification checklist.","Matches PRD admin verification queue."
"C:\Users\USER\Documents\DukaSafe\User Interface\2237b455-9ef9-4657-a474-95e336bf0600.png","Raise Dispute","high","01_desktop_ui/02_buyer/","06_raise-dispute_buyer-evidence-form.png","Visible ""Raise a dispute"", dispute type selector, issue description, evidence upload, case timeline, and submit dispute CTA.","Buyer dispute intake screen."
"C:\Users\USER\Documents\DukaSafe\User Interface\2bd8f67e-f153-47a3-9523-85c9b51d24c7.png","Public Seller Profile","high","01_desktop_ui/02_buyer/","03_public-seller-profile_aisha-styles-trusted.png","Visible Aisha Styles Nairobi profile, trusted seller badge, trust score, verification status, delivery/refund panels, reviews, and active products.","Buyer-facing seller profile from shared seller link."
"C:\Users\USER\Documents\DukaSafe\User Interface\4c5a9557-1a47-410d-91c8-8c24413c543d.png","Landing Page","high","01_desktop_ui/01_landing/","01_landing-page_social-checkout-trust.png","Visible hero headline for TikTok, WhatsApp, and Instagram sellers, dual ""Verify My Shop"" and ""Check a Seller"" CTAs, trust stats, how-it-works modules, testimonials, and footer.","Matches PRD landing page purpose and sections."
"C:\Users\USER\Documents\DukaSafe\User Interface\505c411f-a449-4a62-b5f5-6f7f935ffde5.png","Seller Dashboard","high","01_desktop_ui/03_seller/","09_seller-dashboard_trust-score-orders.png","Visible seller dashboard navigation, trust score, completed orders, active orders, dispute cases, recent orders, quick actions, and seller performance.","Seller operations dashboard."
"C:\Users\USER\Documents\DukaSafe\User Interface\56868a70-2e0a-47b0-94b0-ae22661cd3bb.png","Seller Registration","high","01_desktop_ui/03_seller/","07_seller-registration_verification-form.png","Visible ""Verify your shop"" multi-step form with OTP/personal details/shop details/social links, shop preview, and submit verification CTA.","PRD seller registration flow."
"C:\Users\USER\Documents\DukaSafe\User Interface\62c8be74-5010-42ca-91e0-d0c9a6e48a0a.png","Seller Verification Pending / Confirmation","high","01_desktop_ui/03_seller/","08_seller-verification-pending_review-timeline.png","Visible ""Your shop is under review"", 24-48 hour review message, application submitted state, progress tracker, and next-steps checklist.","Confirmation/pending screen after seller registration."
"C:\Users\USER\Documents\DukaSafe\User Interface\855b9a10-7dcc-44c5-8c4b-7c53335d2dd7.png","Buyer Check a Seller","high","01_desktop_ui/02_buyer/","02_check-seller_search-verification-wide.png","Visible ""Check before you pay"" search interface, seller verification status, trust score, warning strip, and recent verified sellers carousel.","Wider alternate of buyer seller-check screen."
"C:\Users\USER\Documents\DukaSafe\User Interface\955cadee-ae91-4eac-9257-dd8ab32bab72.png","Create Order / Product Link","high","01_desktop_ui/03_seller/","10_create-order-link_live-checkout-preview.png","Visible ""Create a protected order link"" seller form with item details, price, photos, delivery/refund settings, and live checkout preview.","Seller-only link creation screen."
"C:\Users\USER\Documents\DukaSafe\User Interface\a84565ad-90f4-4ec5-831e-1be1e5bd02b7.png","DukaSafe Protection Charter","high","01_desktop_ui/05_policy_and_trust/","14_dispute-charter_buyer-seller-protection.png","Visible ""DukaSafe Protection Charter"", buyer protection, seller protection, dispute steps, and rules/evidence sections.","Policy and trust screen."
"C:\Users\USER\Documents\DukaSafe\User Interface\b42ee8e0-2a46-4bc2-af6e-79af6f0272fa.png","Order Tracking","high","01_desktop_ui/02_buyer/","05_order-tracking_dispatched-evidence-timeline.png","Visible ""Track your protected order"", order status timeline, evidence trail, order summary, buyer protection status, and confirm delivery/raise dispute actions.","Buyer order tracking screen."
"C:\Users\USER\Documents\DukaSafe\User Interface\d4c75b8d-7fdc-4533-890a-ce0f5dbfdd2c.png","Admin Dashboard - Orders & Transactions","high","01_desktop_ui/04_admin/","13_admin-orders-transactions_table-dashboard.png","Visible ""Orders & Transactions"", metrics cards, filterable transaction table, dispute/transaction side panel, and admin sidebar.","Matches PRD admin orders and transactions tab."
"C:\Users\USER\Documents\DukaSafe\User Interface\eab75a1c-5477-47b2-8e90-df19fa51e1c9.png","Buyer Checkout / Order Page","high","01_desktop_ui/02_buyer/","04_buyer-checkout_mpesa-payment-proof.png","Visible order summary, protected checkout form, delivery details, M-PESA payment confirmation upload, and confirm protected order CTA.","Buyer order checkout/payment screen."
"C:\Users\USER\Documents\DukaSafe\User Interface\fd4fd402-a773-4d8f-bb2e-a7d46a6632ef.png","Admin Dashboard - Dispute Case Review","high","01_desktop_ui/04_admin/","12_admin-dispute-review_evidence-resolution.png","Visible dispute case ID, case timeline, buyer/seller evidence, case resolution form, trust score action, and admin dispute controls.","Matches PRD admin disputes tab."
"C:\Users\USER\Documents\DukaSafe\User Interface\rename_manifest_contact_sheet.png","Reference - visual classification contact sheet","high","00_references/","contact-sheet_visual-classification.png","Generated visual inspection sheet containing thumbnails of the UI mockups and source filenames.","This is a Codex-generated reference artifact, not one of the original UI mockups."
